kernel_size(square)	one-pass	cv
3	78.1283000	15.6401
13	78.1450000	32.348
23	78.5568000	31.0382
33	78.1338000	46.8754
43	78.1287000	62.4817
53	78.1415000	78.124
63	78.1316000	98.9593
73	78.1129000	106.063
83	78.1330000	109.369
93	78.1467000	124.998
103	78.1082000	140.643
153	78.1445000	203.125
203	78.1287000	267.817
253	78.1432000	316.878
303	78.1420000	376.6306
